dataset_name,collector,gesture,gesture_group,input_type,trial_index,attempt_index,segment_index,duration_s,capture_duration_s,sensors_enabled,mmwave_frame_count,mmwave_mean_frame_rate_hz,imu_line_count,uwb_sample_count,uwb_ok_sample_count,rfid_line_count,npz_path,session_dir,started_at,finished_at
session_kaiwei_discrete,student1,pull,discrete,cosmos_multi_sensor_gesture,1,2,0,3.0,3.0240930000000006,"mmwave,imu,uwb,rfid",30,9.920329831126223,302,151,151,0,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_pull_001/trial_data.npz,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_pull_001,,
session_kaiwei_discrete,student1,pull,discrete,cosmos_multi_sensor_gesture,2,1,0,3.0,3.0150329999999954,"mmwave,imu,uwb,rfid",30,9.950139849215596,302,151,151,0,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_pull_002/trial_data.npz,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_pull_002,,
session_kaiwei_discrete,student1,pull,discrete,cosmos_multi_sensor_gesture,3,1,0,3.0,3.005412000000007,"mmwave,imu,uwb,rfid",30,9.981992485556034,301,150,150,0,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_pull_003/trial_data.npz,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_pull_003,,
session_kaiwei_discrete,student1,pull,discrete,cosmos_multi_sensor_gesture,4,1,0,3.0,3.0138120000000015,"mmwave,imu,uwb,rfid",30,9.954170996731046,301,150,150,0,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_pull_004/trial_data.npz,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_pull_004,,
session_kaiwei_discrete,student1,pull,discrete,cosmos_multi_sensor_gesture,5,1,0,3.0,3.0022730000000024,"mmwave,imu,uwb,rfid",30,9.992429069574944,300,150,149,0,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_pull_005/trial_data.npz,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_pull_005,,
session_kaiwei_discrete,student1,pull,discrete,cosmos_multi_sensor_gesture,6,1,0,3.0,3.01108099999999,"mmwave,imu,uwb,rfid",30,9.963199262988972,301,151,151,0,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_pull_006/trial_data.npz,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_pull_006,,
session_kaiwei_discrete,student1,pull,discrete,cosmos_multi_sensor_gesture,7,1,0,3.0,3.018326000000002,"mmwave,imu,uwb,rfid",30,9.93928422575957,302,151,151,0,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_pull_007/trial_data.npz,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_pull_007,,
session_kaiwei_discrete,student1,pull,discrete,cosmos_multi_sensor_gesture,8,1,0,3.0,3.0017780000000016,"mmwave,imu,uwb,rfid",30,9.994076843790575,301,151,151,0,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_pull_008/trial_data.npz,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_pull_008,,
session_kaiwei_discrete,student1,push,discrete,cosmos_multi_sensor_gesture,1,1,0,3.0,3.0091040000000078,"mmwave,imu,uwb,rfid",30,9.969745146728037,301,150,150,0,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_push_001/trial_data.npz,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_push_001,,
session_kaiwei_discrete,student1,push,discrete,cosmos_multi_sensor_gesture,2,1,0,3.0,3.018336000000005,"mmwave,imu,uwb,rfid",30,9.939251296078352,302,151,151,0,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_push_002/trial_data.npz,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_push_002,,
